id,fingerprint,brand_name,product_name,quantity,category
2750,"fresho!|baby potato|1000g",fresho!,baby potato,1000g,Fruits & Vegetables
2751,"fresho!|baby potato|250g",fresho!,baby potato,250g,Fruits & Vegetables
2752,"fresho!|baby potato|500g",fresho!,baby potato,500g,Fruits & Vegetables
2753,"fresho!|sweet potato organically grown|250g",fresho!,sweet potato organically grown,250g,Fruits & Vegetables
2754,"fresho!|sweet potato organically grown|500g",fresho!,sweet potato organically grown,500g,Fruits & Vegetables
2755,"fresho!|potato carisma lower glycemic index|1000g",fresho!,potato carisma lower glycemic index,1000g,Fruits & Vegetables
2756,"fresho!|sweet potato|500g",fresho!,sweet potato,500g,Fruits & Vegetables
2757,"fresho!|sweet potato|250g",fresho!,sweet potato,250g,Fruits & Vegetables
2758,"fresho!|sweet potato|1000g",fresho!,sweet potato,1000g,Fruits & Vegetables
2759,"fresho!|ooty potato medium|1000g",fresho!,ooty potato medium,1000g,Fruits & Vegetables
2760,"fresho!|chandramukhi potato organically grown|1000g",fresho!,chandramukhi potato organically grown,1000g,Fruits & Vegetables
2761,"fresho!|potato|2000g",fresho!,potato,2000g,Fruits & Vegetables
2762,"fresho!|potato new|5000g",fresho!,potato new,5000g,Fruits & Vegetables
2763,"fresho!|potato red|1000g",fresho!,potato red,1000g,Fruits & Vegetables
2764,"fresho!|potato red|2000g",fresho!,potato red,2000g,Fruits & Vegetables
2765,"fresho!|potato red|5000g",fresho!,potato red,5000g,Fruits & Vegetables
2766,"mccain|crunchy potato nuggets chilli garlic potato bites|700g",mccain,crunchy potato nuggets chilli garlic potato bites,700g,Snacks & Branded Foods
2767,"mccain|potato bites chilli garlic|200g",mccain,potato bites chilli garlic,200g,Snacks & Branded Foods
2768,"mccain|chilli garlic potato bites|420g",mccain,chilli garlic potato bites,420g,Snacks & Branded Foods
2769,"mccain|crunchy potato nuggets chilli garlic potato bites|420g",mccain,crunchy potato nuggets chilli garlic potato bites,420g,Snacks & Branded Foods
2770,"mccain|chilli garlic potato bites|1240g",mccain,chilli garlic potato bites,1240g,Snacks & Branded Foods
2771,"mccain|aloo tikki|1240g",mccain,aloo tikki,1240g,Snacks & Branded Foods
2772,"mccain|aloo tikki mazedaar masala|160g",mccain,aloo tikki mazedaar masala,160g,Snacks & Branded Foods
2773,"mccain|aloo tikki|400g",mccain,aloo tikki,400g,Snacks & Branded Foods
2774,"mccain|aloo tikki|760g",mccain,aloo tikki,760g,Snacks & Branded Foods
2775,"mccain|potato cheese shotz|400g",mccain,potato cheese shotz,400g,Snacks & Branded Foods
2776,"mccain|potato cheese shotz|250g",mccain,potato cheese shotz,250g,Snacks & Branded Foods
2777,"chillfill|variety french fries veggie finger chilly garlic potato bites|915g",chillfill,variety french fries veggie finger chilly garlic potato bites,915g,Snacks & Branded Foods
2778,"prasuma|spicy k bbq korean fried potato|275g",prasuma,spicy k bbq korean fried potato,275g,Snacks & Branded Foods
2779,"mccain|smiles|750g",mccain,smiles,750g,Snacks & Branded Foods
2780,"mccain|smiles|175g",mccain,smiles,175g,Snacks & Branded Foods
2781,"mccain|smiles crispy happy potatoes|415g",mccain,smiles crispy happy potatoes,415g,Snacks & Branded Foods
2782,"mccain|smiles crispy happy potatoes|1250g",mccain,smiles crispy happy potatoes,1250g,Snacks & Branded Foods
2783,"mccain|variety chilli garlic potato smiles masala fries|550g",mccain,variety chilli garlic potato smiles masala fries,550g,Snacks & Branded Foods
2784,"blue tribe foods|wholesome sweet potato fries|420g",blue tribe foods,wholesome sweet potato fries,420g,Snacks & Branded Foods
2785,"godrej yummiez|crispy potato starz|750g",godrej yummiez,crispy potato starz,750g,Snacks & Branded Foods
2786,"godrej yummiez|crispy potato starz|400g",godrej yummiez,crispy potato starz,400g,Snacks & Branded Foods
2787,"safal|frozen aloo tikki|400g",safal,frozen aloo tikki,400g,Snacks & Branded Foods
2788,"chillfill|cheese potato shots|250g",chillfill,cheese potato shots,250g,Snacks & Branded Foods
2789,"prasuma|sweet spicy korean fried potato|275g",prasuma,sweet spicy korean fried potato,275g,Snacks & Branded Foods
2790,"keventer|chilli garlic potato shots|240g",keventer,chilli garlic potato shots,240g,Snacks & Branded Foods
2791,"desichef|aloo samosa heat eat|250g",desichef,aloo samosa heat eat,250g,Snacks & Branded Foods
2792,"adf soul|aloo paratha|400g",adf soul,aloo paratha,400g,Snacks & Branded Foods
2793,"bangur|frozen aloo paratha rich in nutrition no preservatives|500g",bangur,frozen aloo paratha rich in nutrition no preservatives,500g,Snacks & Branded Foods
2794,"hyfun|potato bets frozen potato snacks ready to fry|400g",hyfun,potato bets frozen potato snacks ready to fry,400g,Snacks & Branded Foods
2795,"hyfun|potato bets rich in protein fibre crispy no preservatives frozen snack|1000g",hyfun,potato bets rich in protein fibre crispy no preservatives frozen snack,1000g,Snacks & Branded Foods
2796,"haldiram's|batata vada minute khana|300g",haldiram's,batata vada minute khana,300g,Snacks & Branded Foods
2797,"keventer|aloo tikki|360g",keventer,aloo tikki,360g,Snacks & Branded Foods
2798,"hyfun|aloo tikki frozen ready to fry|400g",hyfun,aloo tikki frozen ready to fry,400g,Snacks & Branded Foods
2799,"haldiram's|aloo tikki|420g",haldiram's,aloo tikki,420g,Snacks & Branded Foods
2800,"mccain|emotibites crispy happy potato snack|750g",mccain,emotibites crispy happy potato snack,750g,Snacks & Branded Foods
2801,"mccain|emotibites crispy happy potato snack|415g",mccain,emotibites crispy happy potato snack,415g,Snacks & Branded Foods
2802,"chillfill|aloo tikki|400g",chillfill,aloo tikki,400g,Snacks & Branded Foods
2803,"hyfun|mumbai aloo vada|400g",hyfun,mumbai aloo vada,400g,Snacks & Branded Foods
2804,"itc master chef|classic aloo tikki|480g",itc master chef,classic aloo tikki,480g,Snacks & Branded Foods
2805,"itc master chef|chilli garlic potato shots|420g",itc master chef,chilli garlic potato shots,420g,Snacks & Branded Foods
2806,"itc master chef|chilli garlic potato shots nuggets|1000g",itc master chef,chilli garlic potato shots nuggets,1000g,Snacks & Branded Foods
2807,"chillfill|chilli garlic potato bites fry serve|1000g",chillfill,chilli garlic potato bites fry serve,1000g,Snacks & Branded Foods
2808,"chillfill|chilli garlic potato bites fry serve|420g",chillfill,chilli garlic potato bites fry serve,420g,Snacks & Branded Foods
2809,"amul happy treats|aloo tikki|400g",amul happy treats,aloo tikki,400g,Snacks & Branded Foods
2810,"goeld|dilliwali dal aloo tikki|320g",goeld,dilliwali dal aloo tikki,320g,Snacks & Branded Foods
2811,"everest|everest coriander powder|200g",everest,everest coriander powder,200g,
2812,"ramdev|ramdev coriander powder|200g",ramdev,ramdev coriander powder,200g,
2813,"|organically grown coriander 100 g dhaniya patta|100g",,organically grown coriander 100 g dhaniya patta,100g,
2814,"whole farm|whole farm premium coriander seeds dhaniya whole|200g",whole farm,whole farm premium coriander seeds dhaniya whole,200g,
2815,"agro mantra|agro mantra coriander powder freshly ground|500g",agro mantra,agro mantra coriander powder freshly ground,500g,
2816,"catch|catch coriander powder dhania|200g",catch,catch coriander powder dhania,200g,
2817,"everest|everest coriander powder dhania|100g",everest,everest coriander powder dhania,100g,
2818,"dhani pure|dhani pure coriander seeds|500g",dhani pure,dhani pure coriander seeds,500g,
2819,"tata sampann|tata sampann coriander powder natural oils|200g",tata sampann,tata sampann coriander powder natural oils,200g,
2820,"aashirvaad|aashirvaad coriander powder dhaniya powder|100g",aashirvaad,aashirvaad coriander powder dhaniya powder,100g,
2821,"chukde|chukde coriander seeds|100g",chukde,chukde coriander seeds,100g,
2822,"orika|orika double parrot coriander seeds whole kottambari dhaniya|150g",orika,orika double parrot coriander seeds whole kottambari dhaniya,150g,
2823,"24 mantra organic|24 mantra organic coriander seeds dhaniya seeds|100g",24 mantra organic,24 mantra organic coriander seeds dhaniya seeds,100g,
2824,"eastern|eastern coriander powder|250g",eastern,eastern coriander powder,250g,
2825,"mdh|mdh coriander powder dhania|500g",mdh,mdh coriander powder dhania,500g,
2826,"emami healthy & tasty|emami healthy tasty mantra dhaniya coriander powder|200g",emami healthy & tasty,emami healthy tasty mantra dhaniya coriander powder,200g,
2827,"organic india|organic india organic coriander powder|100g",organic india,organic india organic coriander powder,100g,
2828,"organic tattva|organic tattva organic coriander powder|100g",organic tattva,organic tattva organic coriander powder,100g,
2829,"24 mantra organic|24 mantra organic coriander powder|100g",24 mantra organic,24 mantra organic coriander powder,100g,
2830,"catch|catch dhania coriander seeds|100g",catch,catch dhania coriander seeds,100g,
2831,"dhani pure|dhani pure coriander powder|500g",dhani pure,dhani pure coriander powder,500g,
2832,"hamdard khaalis|hamdard khaalis coriander powder|200g",hamdard khaalis,hamdard khaalis coriander powder,200g,
2833,"vrd masale|vrd masale coriander powder|500g",vrd masale,vrd masale coriander powder,500g,
2834,"jk|jk dhaniya coriander powder|100g",jk,jk dhaniya coriander powder,100g,
2835,"dhani pure|dhani pure coriander powder|200g",dhani pure,dhani pure coriander powder,200g,
2836,"kilrr|kilrr dhaniya mirchi aur woh tandoori chicken masala|22g",kilrr,kilrr dhaniya mirchi aur woh tandoori chicken masala,22g,
2837,"fresho!|coriander leaves|1000g",fresho!,coriander leaves,1000g,Fruits & Vegetables
2838,"fresho!|coriander leaves|100g",fresho!,coriander leaves,100g,Fruits & Vegetables
