id,fingerprint,brand_name,product_name,quantity,category
10166,"roff|cera clean rapid action tile ceramic cleaner|1000ml",roff,cera clean rapid action tile ceramic cleaner,1000ml,Cleaning & Household
10167,"roff|cera clean rapid action tile ceramic cleaner|500ml",roff,cera clean rapid action tile ceramic cleaner,500ml,Cleaning & Household
10168,"sanifresh|toilet cleaner advanced thicker formulation|5000ml",sanifresh,toilet cleaner advanced thicker formulation,5000ml,Cleaning & Household
10169,"sanifresh|toilet cleaner advanced thicker formulation|220ml",sanifresh,toilet cleaner advanced thicker formulation,220ml,Cleaning & Household
10170,"sanifresh|toilet cleaner advanced thicker formulation|500ml",sanifresh,toilet cleaner advanced thicker formulation,500ml,Cleaning & Household
10171,"sanifresh|toilet cleaner advanced thicker formulation|1000ml",sanifresh,toilet cleaner advanced thicker formulation,1000ml,Cleaning & Household
10172,"sanifresh|toilet cleaner advanced thicker formulation|520ml",sanifresh,toilet cleaner advanced thicker formulation,520ml,Cleaning & Household
10173,"domex|lime fresh disinfectant toilet cleaner|1000ml",domex,lime fresh disinfectant toilet cleaner,1000ml,Cleaning & Household
10174,"domex|lime fresh disinfectant toilet cleaner|475ml",domex,lime fresh disinfectant toilet cleaner,475ml,Cleaning & Household
10175,"pitambari|toilet cleaner sanit all|500ml",pitambari,toilet cleaner sanit all,500ml,Cleaning & Household
10176,"smart home|bathroom tiles cleaner|500ml",smart home,bathroom tiles cleaner,500ml,Cleaning & Household
10177,"mr. muscle|toilet cleaner|1000ml",mr. muscle,toilet cleaner,1000ml,Cleaning & Household
10178,"domex|sparkling fresh disinfectant toilet cleaner|475ml",domex,sparkling fresh disinfectant toilet cleaner,475ml,Cleaning & Household
10179,"harpic|disinfectant toilet cleaner liquid lemon|1000ml",harpic,disinfectant toilet cleaner liquid lemon,1000ml,Cleaning & Household
10180,"harpic|disinfectant toilet cleaner liquid lemon|500ml",harpic,disinfectant toilet cleaner liquid lemon,500ml,Cleaning & Household
10181,"harpic|disinfectant toilet cleaner liquid lemon removes dirt stains|2000ml",harpic,disinfectant toilet cleaner liquid lemon removes dirt stains,2000ml,Cleaning & Household
10182,"clorox|mold mildew remover|500ml",clorox,mold mildew remover,500ml,Cleaning & Household
10183,"bb combo|harpic bathroom cleaning liquid floral 500ml scotch brite scrub sponge large 1pc|0combo",bb combo,harpic bathroom cleaning liquid floral 500ml scotch brite scrub sponge large 1pc,0combo,Cleaning & Household
10184,"herbal strategi|just mop herbal toilet bathroom cleaner|500ml",herbal strategi,just mop herbal toilet bathroom cleaner,500ml,Cleaning & Household
10185,"herbal strategi|bathroom cleaner non toxic safe removes stains kills 99 9 germs|500ml",herbal strategi,bathroom cleaner non toxic safe removes stains kills 99 9 germs,500ml,Cleaning & Household
10186,"turil|natural toilet cleaner freshner|1000ml",turil,natural toilet cleaner freshner,1000ml,Cleaning & Household
10187,"turil|natural toilet cleaner freshner|500ml",turil,natural toilet cleaner freshner,500ml,Cleaning & Household
10188,"vooki|heavy duty toilet bowl cleaner|500ml",vooki,heavy duty toilet bowl cleaner,500ml,Cleaning & Household
10189,"senu|spray n wipe tap cleaner|600ml",senu,spray n wipe tap cleaner,600ml,Cleaning & Household
10190,"stanfresh|super disinfectant floor cleaner super 6 in 1 toilet cleaner rose|2pc",stanfresh,super disinfectant floor cleaner super 6 in 1 toilet cleaner rose,2pc,Cleaning & Household
10191,"klenzmo|tap shower cleaner|270ml",klenzmo,tap shower cleaner,270ml,Cleaning & Household
10192,"sanifresh|bathroom cleaner kills 99 9 germs removes tough stains long lasting fragrance|450ml",sanifresh,bathroom cleaner kills 99 9 germs removes tough stains long lasting fragrance,450ml,Cleaning & Household
10193,"sanifresh|bathroom cleaner 10x better germ protection|1000ml",sanifresh,bathroom cleaner 10x better germ protection,1000ml,Cleaning & Household
10194,"dr. octo|toilet cleaner geranium lavender chamomile 0 toxins removes tough stains|500ml",dr. octo,toilet cleaner geranium lavender chamomile 0 toxins removes tough stains,500ml,Cleaning & Household
10195,"vedox|bolt toilet cleaner removes limescale rust stain|1000ml",vedox,bolt toilet cleaner removes limescale rust stain,1000ml,Cleaning & Household
10196,"vedox|bolt toilet cleaner removes limescale rust stain|500ml",vedox,bolt toilet cleaner removes limescale rust stain,500ml,Cleaning & Household
10197,"stanfresh|super 6 in 1 toilet cleaner multi surface floor cleaner mint rose world|2pc",stanfresh,super 6 in 1 toilet cleaner multi surface floor cleaner mint rose world,2pc,Cleaning & Household
10198,"rinsl|toilet cleaner stain removal refreshing fragrance kills 99 9 germs|1000ml",rinsl,toilet cleaner stain removal refreshing fragrance kills 99 9 germs,1000ml,Cleaning & Household
10199,"rinsl|toilet cleaner stain removal refreshing fragrance kills 99 9 germs|500ml",rinsl,toilet cleaner stain removal refreshing fragrance kills 99 9 germs,500ml,Cleaning & Household
10200,"dew fresh|dew fresh toilet cleaner liquid|500ml",dew fresh,dew fresh toilet cleaner liquid,500ml,Cleaning Essentials
10201,"bay6|bay6 toilet cleaner sparkling shine disinfectant|1pc",bay6,bay6 toilet cleaner sparkling shine disinfectant,1pc,Cleaning Essentials
10202,"harpic|harpic original toilet cleaner liquid|1000ml",harpic,harpic original toilet cleaner liquid,1000ml,Cleaning Essentials
10203,"harpic|harpic original toilet cleaner liquid|1pc",harpic,harpic original toilet cleaner liquid,1pc,Cleaning Essentials
10204,"domex|domex ocean fresh toilet cleaner|1pc",domex,domex ocean fresh toilet cleaner,1pc,Cleaning Essentials
10205,"domex|domex fresh guard ocean fresh fragrance disinfectant toilet cleaner|1000g",domex,domex fresh guard ocean fresh fragrance disinfectant toilet cleaner,1000g,Cleaning Essentials
10206,"mr. muscle|mr muscle toilet cleaner|1pc",mr. muscle,mr muscle toilet cleaner,1pc,Cleaning Essentials
10207,"harpic|harpic bleach toilet cleaner liquid|1pc",harpic,harpic bleach toilet cleaner liquid,1pc,Cleaning Essentials
10208,"harpic|harpic flushmatic lavender toilet cleaner blocks|2pc",harpic,harpic flushmatic lavender toilet cleaner blocks,2pc,Cleaning Essentials
10209,"vooki|vooki toilet bowl cleaner liquid|1pc",vooki,vooki toilet bowl cleaner liquid,1pc,Cleaning Essentials
10210,"domex|domex pf spray thunder fresh|1pc",domex,domex pf spray thunder fresh,1pc,Cleaning Essentials
10211,"dabur home care|sanifresh advance liquid toilet cleaner odonil air freshener block|1pc",dabur home care,sanifresh advance liquid toilet cleaner odonil air freshener block,1pc,Cleaning Essentials
10212,"dew fresh|dew fresh toilet cleaner|1000ml",dew fresh,dew fresh toilet cleaner,1000ml,Cleaning Essentials
10213,"domex|domex pf spray floral blast|1pc",domex,domex pf spray floral blast,1pc,Cleaning Essentials
10214,"ezee|ezee everyday ultra clean toilet cleaner instant freshness|1000g",ezee,ezee everyday ultra clean toilet cleaner instant freshness,1000g,Cleaning Essentials
10215,"harpic|harpic lavender hygienic toilet cleaner rim block|1pc",harpic,harpic lavender hygienic toilet cleaner rim block,1pc,Cleaning Essentials
10216,"kleenest|kleenest rose toilet cleaner|1000ml",kleenest,kleenest rose toilet cleaner,1000ml,Cleaning Essentials
10217,"harpic|harpic lemon toilet cleaner liquid|1pc",harpic,harpic lemon toilet cleaner liquid,1pc,Cleaning Essentials
10218,"harpic|harpic jasmine toilet cleaner liquid|1pc",harpic,harpic jasmine toilet cleaner liquid,1pc,Cleaning Essentials
10219,"dabur home care|sanifresh toilet cleaner|1pack",dabur home care,sanifresh toilet cleaner,1pack,Cleaning Essentials
10220,"vooki|vooki heavy duty toilet bowl cleaner fumeless deep action liquid|1pc",vooki,vooki heavy duty toilet bowl cleaner fumeless deep action liquid,1pc,Cleaning Essentials
10221,"proklean|proklean projanit bio toilet cleaner eco friendly non toxic anti viral|1pack",proklean,proklean projanit bio toilet cleaner eco friendly non toxic anti viral,1pack,Cleaning Essentials
10222,"harpic|harpic flushmatic marine toilet cleaner blocks|2pc",harpic,harpic flushmatic marine toilet cleaner blocks,2pc,Cleaning Essentials
10223,"trishul|trishul b loo toilet cleaner|1pc",trishul,trishul b loo toilet cleaner,1pc,Cleaning Essentials
10224,"harpic|harpic marine toilet cleaner liquid|1pc",harpic,harpic marine toilet cleaner liquid,1pc,Cleaning Essentials
10225,"moon&mount|moon mount ecofriendly lemon bathroom surface cleaning liquid|1pc",moon&mount,moon mount ecofriendly lemon bathroom surface cleaning liquid,1pc,Cleaning Essentials
10226,"trishul|trishul b loo toilet cleaner|500ml",trishul,trishul b loo toilet cleaner,500ml,Cleaning Essentials
10227,"harpic|harpic flushmatic marine toilet cleaner blocks|1pack",harpic,harpic flushmatic marine toilet cleaner blocks,1pack,Cleaning Essentials
10228,"shatras|shatras disinfectant toilet bowl cleaner|1pc",shatras,shatras disinfectant toilet bowl cleaner,1pc,Cleaning Essentials
10229,"harpic|harpic jasmine toilet rim blocks|1pc",harpic,harpic jasmine toilet rim blocks,1pc,Cleaning Essentials
10230,"duzzit-international|duzzit power bleach toilet block|1pack",duzzit-international,duzzit power bleach toilet block,1pack,Cleaning Essentials
10231,"koparo clean|koparo clean lime lemongrass toilet cleaner no hcl acid|1pc",koparo clean,koparo clean lime lemongrass toilet cleaner no hcl acid,1pc,Cleaning Essentials
10232,"harpic|harpic white shine bleach|1pc",harpic,harpic white shine bleach,1pc,Cleaning Essentials
10233,"shatras|shatras disinfectant toilet cleaner|5000ml",shatras,shatras disinfectant toilet cleaner,5000ml,Cleaning Essentials
10234,"glenzo|glenzo toilet cleaner|1pc",glenzo,glenzo toilet cleaner,1pc,Cleaning Essentials
10235,"selzer|selzer zovito advanced toilet cleaner|1pack",selzer,selzer zovito advanced toilet cleaner,1pack,Cleaning Essentials
10236,"domex|domex sparkling fresh toilet cleaner fights odour upto 3 days|1pc",domex,domex sparkling fresh toilet cleaner fights odour upto 3 days,1pc,Cleaning Essentials
10237,"harpic|harpic atlantic burst power fresh 6 toilet cleaner rim block|1pack",harpic,harpic atlantic burst power fresh 6 toilet cleaner rim block,1pack,Cleaning Essentials
10238,"harpic-international|harpic power plus original toilet cleaner|1pc",harpic-international,harpic power plus original toilet cleaner,1pc,Cleaning Essentials
10239,"kleenest|kleenest rose fragrance plant based bathroom cleaner toilet cleaner|1000ml",kleenest,kleenest rose fragrance plant based bathroom cleaner toilet cleaner,1000ml,Cleaning Essentials
10240,"tazo|tazo natural toilet cleaner|475ml",tazo,tazo natural toilet cleaner,475ml,Cleaning Essentials
10241,"bloo|bloo active lemon solid toilet rim block 4 in 1 toilet cleaners anti limescale|1pc",bloo,bloo active lemon solid toilet rim block 4 in 1 toilet cleaners anti limescale,1pc,Cleaning Essentials
10242,"harpic|harpic original toilet cleaner liquid|3pc",harpic,harpic original toilet cleaner liquid,3pc,Cleaning Essentials
10243,"domestos-international|domestos 3 in 1 ocean toilet block|1pack",domestos-international,domestos 3 in 1 ocean toilet block,1pack,Cleaning Essentials
10244,"bloo|bloo active lemon solid toilet rim block 4 in 1 toilet cleaners anti limescale|1pack",bloo,bloo active lemon solid toilet rim block 4 in 1 toilet cleaners anti limescale,1pack,Cleaning Essentials
10245,"harpic-international|harpic power plus citrus toilet cleaner|1pc",harpic-international,harpic power plus citrus toilet cleaner,1pc,Cleaning Essentials
10246,"parryware|parryware smartflush citrus 500 mystic 500 automatic toilet bowl cleaner|1pack",parryware,parryware smartflush citrus 500 mystic 500 automatic toilet bowl cleaner,1pack,Cleaning Essentials
10247,"parryware|parryware smartflush citrus 500 automatic toilet bowl cleaner 2|1pack",parryware,parryware smartflush citrus 500 automatic toilet bowl cleaner 2,1pack,Cleaning Essentials
10248,"bloo|bloo active blue fresh flower solid toilet rim block 4 in 1 toilet cleaners|1pack",bloo,bloo active blue fresh flower solid toilet rim block 4 in 1 toilet cleaners,1pack,Cleaning Essentials
10249,"elbow grease-international|elbow grease lemon toilet tablets|1pack",elbow grease-international,elbow grease lemon toilet tablets,1pack,Cleaning Essentials
10250,"parryware|parryware glow faucet cleaner 2|1pack",parryware,parryware glow faucet cleaner 2,1pack,Cleaning Essentials
10251,"selzer|selzer zovito advanced toilet cleaner toilet cleaner 2|2pc",selzer,selzer zovito advanced toilet cleaner toilet cleaner 2,2pc,Cleaning Essentials
10252,"dew fresh|dew fresh bathroom cleaner|500ml",dew fresh,dew fresh bathroom cleaner,500ml,Cleaning Essentials
10253,"harpic|harpic floral bathroom cleaner liquid removes bathroom stains|1pc",harpic,harpic floral bathroom cleaner liquid removes bathroom stains,1pc,Cleaning Essentials
10254,"harpic|harpic lemon bathroom cleaner liquid removes bathroom stains|1pc",harpic,harpic lemon bathroom cleaner liquid removes bathroom stains,1pc,Cleaning Essentials
10255,"harpic|harpic lemon bathroom cleaner liquid removes bathroom stains|1000ml",harpic,harpic lemon bathroom cleaner liquid removes bathroom stains,1000ml,Cleaning Essentials
10256,"d-klog|d klog drain cleaner|1pack",d-klog,d klog drain cleaner,1pack,Cleaning Essentials
10257,"kleenest|kleenest rose bathroom cleaner liquid|1pc",kleenest,kleenest rose bathroom cleaner liquid,1pc,Cleaning Essentials
10258,"moon&mount|moon mount toilet seat cleaners liquid effective all purpose cleaners|1pc",moon&mount,moon mount toilet seat cleaners liquid effective all purpose cleaners,1pc,Cleaning Essentials
10259,"bay6|bay6 disinfectant toilet cleaner|500ml",bay6,bay6 disinfectant toilet cleaner,500ml,Cleaning Essentials
10260,"diolty|diolty fresh aroma toilet seat cleaner|1pc",diolty,diolty fresh aroma toilet seat cleaner,1pc,Cleaning Essentials
10261,"purela|purela toilet seat cleaners liquid effective all purpose cleaners|1pc",purela,purela toilet seat cleaners liquid effective all purpose cleaners,1pc,Cleaning Essentials
10262,"harpic|harpic drain cleaner powder sink pipe cleaner drainage block|1pack",harpic,harpic drain cleaner powder sink pipe cleaner drainage block,1pack,Cleaning Essentials
10263,"moon&mount|moon mount ecofriendly neem bathroom surface cleaning liquid|1pc",moon&mount,moon mount ecofriendly neem bathroom surface cleaning liquid,1pc,Cleaning Essentials
10264,"sovi|sovi multipurpose vinegar cleaner bathroom kitchen cleaner degreaser lavender 2|500ml",sovi,sovi multipurpose vinegar cleaner bathroom kitchen cleaner degreaser lavender 2,500ml,Cleaning Essentials
10265,"joff|joff tap shower cleaner|1pc",joff,joff tap shower cleaner,1pc,Cleaning Essentials
10266,"jags|jags caustic soda|1pc",jags,jags caustic soda,1pc,Cleaning Essentials
10267,"mr muscle-international|mr muscle platinum bathroom spray|1pc",mr muscle-international,mr muscle platinum bathroom spray,1pc,Cleaning Essentials
10268,"cif-international|cif power shine bathroom cleaner|1pc",cif-international,cif power shine bathroom cleaner,1pc,Cleaning Essentials
10269,"klenzmo|klenzmo tap shower cleaner|1pc",klenzmo,klenzmo tap shower cleaner,1pc,Cleaning Essentials
10270,"quiclean|quiclean tap shower cleaner removes limescale hard water stains|1pc",quiclean,quiclean tap shower cleaner removes limescale hard water stains,1pc,Cleaning Essentials
10271,"lizol|lizol floor cleaner lavender|5000ml",lizol,lizol floor cleaner lavender,5000ml,
10272,"lizol|lizol floor cleaner floral|5000ml",lizol,lizol floor cleaner floral,5000ml,
10273,"dettol|dettol germ defence antiseptic liquid 750 ml|750ml",dettol,dettol germ defence antiseptic liquid 750 ml,750ml,
10274,"dettol|dettol germ defence antiseptic liquid|1300ml",dettol,dettol germ defence antiseptic liquid,1300ml,
10275,"lizol|lizol lavender disinfectant surface cleaner|2000ml",lizol,lizol lavender disinfectant surface cleaner,2000ml,
10276,"lizol|lizol floral disinfectant surface cleaner|500ml",lizol,lizol floral disinfectant surface cleaner,500ml,
10277,"lizol|lizol disinfectant surface cleaner citrus|500ml",lizol,lizol disinfectant surface cleaner citrus,500ml,
10278,"lizol|lizol citrus disinfectant surface cleaner|750ml",lizol,lizol citrus disinfectant surface cleaner,750ml,
10279,"dettol|dettol fresh lime liquid disinfectant|1pc",dettol,dettol fresh lime liquid disinfectant,1pc,Cleaning Essentials
10280,"dettol|dettol menthol cool disinfectant liquid floor cleaner|1pc",dettol,dettol menthol cool disinfectant liquid floor cleaner,1pc,Cleaning Essentials
10281,"savlon|savlon surface disinfectant sanitizer spray|1pc",savlon,savlon surface disinfectant sanitizer spray,1pc,Cleaning Essentials
10282,"trishul|trishul garden fresh disinfectant surface cleaner|5000ml",trishul,trishul garden fresh disinfectant surface cleaner,5000ml,Cleaning Essentials
10283,"trishul|trishul lemon fresh disinfectant surface cleaner|5000ml",trishul,trishul lemon fresh disinfectant surface cleaner,5000ml,Cleaning Essentials
10284,"dettol|dettol lavender liquid disinfectant|1pc",dettol,dettol lavender liquid disinfectant,1pc,Cleaning Essentials
10285,"lizol|lizol disinfectant surface floor cleaner liquid floral|625ml",lizol,lizol disinfectant surface floor cleaner liquid floral,625ml,Cleaning Essentials
10286,"dettol|dettol orchard bloom multi surface disinfectant sanitizer spray|1pc",dettol,dettol orchard bloom multi surface disinfectant sanitizer spray,1pc,Cleaning Essentials
10287,"beco|beco natural floor cleaner liquid|1pc",beco,beco natural floor cleaner liquid,1pc,Cleaning Essentials
10288,"shatras|shatras citrus lavender disinfectant surface floor cleaner liquid|5000ml",shatras,shatras citrus lavender disinfectant surface floor cleaner liquid,5000ml,Cleaning Essentials
10289,"lizol|lizol floral disinfectant surface floor cleaner liquid|1pc",lizol,lizol floral disinfectant surface floor cleaner liquid,1pc,Cleaning Essentials
10290,"beco|beco lemongrass basil freshness natural disinfectant floor cleaner refill|1pack",beco,beco lemongrass basil freshness natural disinfectant floor cleaner refill,1pack,Cleaning Essentials
10291,"kleenest|kleenest tropical breeze natural plant based floor cleaner|1pc",kleenest,kleenest tropical breeze natural plant based floor cleaner,1pc,Cleaning Essentials
10292,"shatras|shatras citrus disinfectant surface floor cleaner liquid|1pc",shatras,shatras citrus disinfectant surface floor cleaner liquid,1pc,Cleaning Essentials
10293,"shatras|shatras citrus pink lily disinfectant surface floor cleaner liquid|5000ml",shatras,shatras citrus pink lily disinfectant surface floor cleaner liquid,5000ml,Cleaning Essentials
10294,"beco|beco natural floor cleaner eucalyptus 1l kills 100 germs|1pc",beco,beco natural floor cleaner eucalyptus 1l kills 100 germs,1pc,Cleaning Essentials
10295,"ezee|ezee everyday ultra clean bathroom floor cleaner removes bathroom stains|1000g",ezee,ezee everyday ultra clean bathroom floor cleaner removes bathroom stains,1000g,Cleaning Essentials
10296,"shatras|shatras pink lily disinfectant surface floor cleaner liquid|1pc",shatras,shatras pink lily disinfectant surface floor cleaner liquid,1pc,Cleaning Essentials
10297,"dettol-international|dettol surface wipes|1pack",dettol-international,dettol surface wipes,1pack,Cleaning Essentials
10298,"purela|purela lemon floor cleaner liquids bathroom surface cleaning liquid ecofriendly|1pc",purela,purela lemon floor cleaner liquids bathroom surface cleaning liquid ecofriendly,1pc,Cleaning Essentials
10299,"purela|purela rose floor cleaner liquids bathroom surface cleaning liquid ecofriendly|1pc",purela,purela rose floor cleaner liquids bathroom surface cleaning liquid ecofriendly,1pc,Cleaning Essentials
10300,"dettol-international|dettol surface cleaner|1pc",dettol-international,dettol surface cleaner,1pc,Cleaning Essentials
10301,"cif-international|cif anti bacterial lavender blue fern cleaner spray|1pc",cif-international,cif anti bacterial lavender blue fern cleaner spray,1pc,Cleaning Essentials
10302,"purela|purela lavender floor cleaner liquids bathroom surface cleaning liquid ecofriendly|1pc",purela,purela lavender floor cleaner liquids bathroom surface cleaning liquid ecofriendly,1pc,Cleaning Essentials
10303,"trishul|trishul garden fresh disinfectant floor cleaner|1pc",trishul,trishul garden fresh disinfectant floor cleaner,1pc,Cleaning Essentials
10304,"greenshield-international|greenshield anti bacterial wood laminate wipes|1pack",greenshield-international,greenshield anti bacterial wood laminate wipes,1pack,Cleaning Essentials
10305,"germisol|germisol natural mosquito repellent phenyle|1pc",germisol,germisol natural mosquito repellent phenyle,1pc,Cleaning Essentials
10306,"moon&mount|moon mount rose floor cleaner liquids bathroom surface cleaning liquid ecofriendly|1pc",moon&mount,moon mount rose floor cleaner liquids bathroom surface cleaning liquid ecofriendly,1pc,Cleaning Essentials
10307,"trishul|trishul white disinfectant germonil|1pc",trishul,trishul white disinfectant germonil,1pc,Cleaning Essentials
10308,"savlon|savlon surface disinfectant spray|170g",savlon,savlon surface disinfectant spray,170g,
10309,"dettol|dettol multi purpose disinfectant spray|170g",dettol,dettol multi purpose disinfectant spray,170g,
10310,"dettol|dettol lime fresh liquid disinfectant|550ml",dettol,dettol lime fresh liquid disinfectant,550ml,
10311,"dettol|dettol multi surface sanitizer disinfectant spray|170g",dettol,dettol multi surface sanitizer disinfectant spray,170g,
10312,"|dettol multi purpose disinfectant spray spring blossom multi surface sanitizer disinfectant spray orchard bloom|170g",,dettol multi purpose disinfectant spray spring blossom multi surface sanitizer disinfectant spray orchard bloom,170g,
10313,"lizol|lizol disinfectant surface floor cleaner lavender|2000ml",lizol,lizol disinfectant surface floor cleaner lavender,2000ml,
10314,"pee safe|pee safe toilet seat sanitizer spray floral|75ml",pee safe,pee safe toilet seat sanitizer spray floral,75ml,
10315,"pee safe|pee safe toilet seat toilet sanitizer spray lavender|75ml",pee safe,pee safe toilet seat toilet sanitizer spray lavender,75ml,
10316,"pee safe|pee safe toilet seat sanitizer spray mint|75ml",pee safe,pee safe toilet seat sanitizer spray mint,75ml,
10317,"be safe forever|be safe forever toilet sanitizer spray germ protection|100ml",be safe forever,be safe forever toilet sanitizer spray germ protection,100ml,
10318,"savlon|savlon soft protect fabric conditioner|890ml",savlon,savlon soft protect fabric conditioner,890ml,
10319,"terminator|terminator eco friendly termite killer disinfectant spray|320ml",terminator,terminator eco friendly termite killer disinfectant spray,320ml,
10320,"be safe forever|be safe forever toilet sanitizer spray|100ml",be safe forever,be safe forever toilet sanitizer spray,100ml,
10321,"dettol|multi surface disinfectant spray orchard bloom 24 hours antibacterial protection|225ml",dettol,multi surface disinfectant spray orchard bloom 24 hours antibacterial protection,225ml,Cleaning & Household
10322,"lizol|all in 1 disinfectant surface floor cleaner pine kills 99 9 germs|2000ml",lizol,all in 1 disinfectant surface floor cleaner pine kills 99 9 germs,2000ml,Cleaning & Household
10323,"cristo|surface disinfectant cleaner white lily|1000ml",cristo,surface disinfectant cleaner white lily,1000ml,Cleaning & Household
10324,"lizol|all in 1 disinfectant surface floor cleaner pine kills 99 9 germs|975ml",lizol,all in 1 disinfectant surface floor cleaner pine kills 99 9 germs,975ml,Cleaning & Household
10325,"cristo|surface disinfectant cleaner citrus|1000ml",cristo,surface disinfectant cleaner citrus,1000ml,Cleaning & Household
10326,"cristo|surface disinfectant cleaner citrus|500ml",cristo,surface disinfectant cleaner citrus,500ml,Cleaning & Household
10327,"cristo|surface disinfectant cleaner rose|1000ml",cristo,surface disinfectant cleaner rose,1000ml,Cleaning & Household
10328,"cristo|surface disinfectant cleaner rose|500ml",cristo,surface disinfectant cleaner rose,500ml,Cleaning & Household
10329,"cristo|surface disinfectant cleaner lavender|1000ml",cristo,surface disinfectant cleaner lavender,1000ml,Cleaning & Household
10330,"cristo|surface disinfectant cleaner lavender|500ml",cristo,surface disinfectant cleaner lavender,500ml,Cleaning & Household
10331,"dettol|disinfectant sanitizer wet wipes skin surfaces moisture lock floral|10pc",dettol,disinfectant sanitizer wet wipes skin surfaces moisture lock floral,10pc,Cleaning & Household
10332,"savlon|surface disinfectant spray fresh|170g",savlon,surface disinfectant spray fresh,170g,Cleaning & Household
10333,"savlon|surface disinfectant spray|70g",savlon,surface disinfectant spray,70g,Cleaning & Household
10334,"savlon|surface disinfectant spray|290g",savlon,surface disinfectant spray,290g,Cleaning & Household
10335,"dettol|spring blossom multi surface disinfectant spray|225ml",dettol,spring blossom multi surface disinfectant spray,225ml,Cleaning & Household
10336,"lizol|disinfectant surface floor cleaner liquid neem|2000ml",lizol,disinfectant surface floor cleaner liquid neem,2000ml,Cleaning & Household
10337,"lizol|disinfectant surface floor cleaner liquid neem|200ml",lizol,disinfectant surface floor cleaner liquid neem,200ml,Cleaning & Household
10338,"lizol|disinfectant surface cleaner liquid neem|500ml",lizol,disinfectant surface cleaner liquid neem,500ml,Cleaning & Household
10339,"lizol|disinfectant surface floor cleaner liquid neem|1000ml",lizol,disinfectant surface floor cleaner liquid neem,1000ml,Cleaning & Household
10340,"lizol|disinfectant surface cleaner floral|5000ml",lizol,disinfectant surface cleaner floral,5000ml,Cleaning & Household
10341,"lizol|disinfectant surface floor cleaner liquid floral|200ml",lizol,disinfectant surface floor cleaner liquid floral,200ml,Cleaning & Household
10342,"lizol|all in one disinfectant surface cleaner liquid floral|500ml",lizol,all in one disinfectant surface cleaner liquid floral,500ml,Cleaning & Household
10343,"lizol|disinfectant surface floor cleaner liquid floral|2000ml",lizol,disinfectant surface floor cleaner liquid floral,2000ml,Cleaning & Household
10344,"dettol|disinfectant spray sanitizer germ protection original pine|225ml",dettol,disinfectant spray sanitizer germ protection original pine,225ml,Cleaning & Household
10345,"dettol|surface disinfectant sanitizer spray kills germs bacteria original pine|225ml",dettol,surface disinfectant sanitizer spray kills germs bacteria original pine,225ml,Cleaning & Household
10346,"lizol|disinfectant surface cleaner jasmine|1000ml",lizol,disinfectant surface cleaner jasmine,1000ml,Cleaning & Household
10347,"lizol|disinfectant surface cleaner jasmine|200ml",lizol,disinfectant surface cleaner jasmine,200ml,Cleaning & Household
10348,"lizol|disinfectant surface cleaner jasmine|500ml",lizol,disinfectant surface cleaner jasmine,500ml,Cleaning & Household
10349,"lizol|disinfectant surface cleaner jasmine|2000ml",lizol,disinfectant surface cleaner jasmine,2000ml,Cleaning & Household
10350,"dettol|antibacterial surface liquid disinfectant cleaner multipurpose kills germs|500ml",dettol,antibacterial surface liquid disinfectant cleaner multipurpose kills germs,500ml,Cleaning & Household
10351,"dettol|antibacterial surface disinfectant spray sanitizer|500ml",dettol,antibacterial surface disinfectant spray sanitizer,500ml,Cleaning & Household
10352,"lizol|disinfectant surface floor cleaner pine|500ml",lizol,disinfectant surface floor cleaner pine,500ml,Cleaning & Household
10353,"lizol|all in 1 disinfectant surface cleaner pine|1000ml",lizol,all in 1 disinfectant surface cleaner pine,1000ml,Cleaning & Household
10354,"lizol|disinfectant surface floor cleaner liquid sandal|500ml",lizol,disinfectant surface floor cleaner liquid sandal,500ml,Cleaning & Household
10355,"lizol|all in one disinfectant surface cleaner liquid lavender|5000ml",lizol,all in one disinfectant surface cleaner liquid lavender,5000ml,Cleaning & Household
10356,"lizol|disinfectant surface floor cleaner liquid lavender|500ml",lizol,disinfectant surface floor cleaner liquid lavender,500ml,Cleaning & Household
10357,"lizol|disinfectant surface floor cleaner liquid lavender|1000ml",lizol,disinfectant surface floor cleaner liquid lavender,1000ml,Cleaning & Household
10358,"lizol|all in one disinfectant surface cleaner liquid lavender|2000ml",lizol,all in one disinfectant surface cleaner liquid lavender,2000ml,Cleaning & Household
10359,"cristo|surface disinfectant cleaner jasmine|500ml",cristo,surface disinfectant cleaner jasmine,500ml,Cleaning & Household
10360,"germisol|black disinfectant fluid phenyle|500ml",germisol,black disinfectant fluid phenyle,500ml,Cleaning & Household
10361,"germisol|black disinfectant fluid phenyle|200ml",germisol,black disinfectant fluid phenyle,200ml,Cleaning & Household
10362,"lizol|disinfectant surface cleaner liquid citrus|5000ml",lizol,disinfectant surface cleaner liquid citrus,5000ml,Cleaning & Household
10363,"lizol|disinfectant surface floor cleaner liquid citrus|200ml",lizol,disinfectant surface floor cleaner liquid citrus,200ml,Cleaning & Household
10364,"lizol|all in one disinfectant surface cleaner liquid citrus|1000ml",lizol,all in one disinfectant surface cleaner liquid citrus,1000ml,Cleaning & Household
10365,"lizol|disinfectant surface cleaner citrus|625ml",lizol,disinfectant surface cleaner citrus,625ml,Cleaning & Household
10366,"lizol|disinfectant surface floor cleaner liquid citrus|2000ml",lizol,disinfectant surface floor cleaner liquid citrus,2000ml,Cleaning & Household
